title,author,author_gender
For Whom the Bell Tolls,Ernest Hemingway,male
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,female
The Complete Calvin and Hobbes,Bill Watterson,male
Roots: The Saga of an American Family,Alex Haley,male
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,Unknown
The House of the Spirits,Isabel Allende,female
Island of the Blue Dolphins,Scott O'Dell,male
Stranger in a Strange Land,Robert A. Heinlein,male
"Midnight Sun (Twilight, #1.5)",Stephenie Meyer,Unknown
Misery,Stephen King,male
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,male
White Oleander,Janet Fitch,female
"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,female
"Delirium (Delirium, #1)",Lauren Oliver,female
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,female
Othello,William Shakespeare,male
Speak,Laurie Halse Anderson,female
The Idiot,Fyodor Dostoyevsky,male
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,female
Paper Towns,John Green,male
I Know This Much Is True,Wally Lamb,male
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,female
"The Once and Future King (The Once and Future King, #1-4)",T.H. White,male
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,male
King Lear,William Shakespeare,male
"Neverwhere (London Below, #1)",Neil Gaiman,Unknown
Into the Wild,Jon Krakauer,Unknown
Uncle Tom's Cabin,Harriet Beecher Stowe,male
"Inkheart (Inkworld, #1)",Cornelia Funke,female
The Secret History,Donna Tartt,female
The Historian,Elizabeth Kostova,female
Invisible Man,Ralph Ellison,male
James and the Giant Peach,Roald Dahl,male
Candide,Voltaire,male
"All Creatures Great and Small (All Creatures Great and Small, #1)",James Herriot,male
"Graceling (Graceling Realm, #1)",Kristin Cashore,Unknown
The Complete Sherlock Holmes,Arthur Conan Doyle,male
Paradise Lost,John Milton,male
Leaves of Grass,Walt Whitman,male
The Thirteenth Tale,Diane Setterfield,female
The Diary of a Young Girl,Anne Frank,female
The Complete Works,William Shakespeare,male
The Cider House Rules,John Irving,male
The Things They Carried,Tim O'Brien,male
"Foundation (Foundation, #1)",Isaac Asimov,male
Different Seasons,Stephen King,male
Gone Girl,Gillian Flynn,female
The Time Machine,H.G. Wells,male
Norwegian Wood,Haruki Murakami,male
"Heidi (Heidi, #1-2)",Johanna Spyri,female
"Are You There God? It's Me, Margaret",Judy Blume,female
Walden,Henry David Thoreau,male
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,female
Sophie's World,Jostein Gaarder,male
Kafka on the Shore,Haruki Murakami,male
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,male
زندگی مه آلود پریا,سید مرتضی مصطفوی,Unknown
The Awakening,Kate Chopin,female
Sophie's Choice,William Styron,male
Blood River: A Journey to Africa's Broken Heart,Tim Butcher,male
Fangirl,Rainbow Rowell,female
The Prince of Tides,Pat Conroy,male
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,female
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,Unknown
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,male
Never Let Me Go,Kazuo Ishiguro,male
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,Unknown
The Monster at the End of this Book,Jon Stone,male
"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,Unknown
Middlemarch,George Eliot,female
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,male
Franny and Zooey,J.D. Salinger,male
Mrs. Dalloway,Virginia Woolf,female
"The Power of One (The Power of One, #1)",Bryce Courtenay,male
Stardust,Neil Gaiman,Unknown
"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,male
"A Time to Kill (Jake Brigance, #1)",John Grisham,male
The Gunslinger,Stephen King,male
Number the Stars,Lois Lowry,male
A Short History of Nearly Everything,Bill Bryson,male
Black Beauty,Anna Sewell,female
"Ready Player One (Ready Player One, #1)",Ernest Cline,male
"Allegiant (Divergent, #3)",Veronica Roth,female
Bel Canto,Ann Patchett,female
A Portrait of the Artist as a Young Man,James Joyce,male
"If I Stay (If I Stay, #1)",Gayle Forman,female
The Art of Racing in the Rain,Garth Stein,male
Eleanor & Park,Rainbow Rowell,female
Gulliver's Travels,Jonathan Swift,male
Do Androids Dream of Electric Sheep?,Philip K. Dick,male
American Psycho,Bret Easton Ellis,male
Love You Forever,Robert Munsch,male
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,male
"Legend (Legend, #1)",Marie Lu,Unknown
The Hound of the Baskervilles,Arthur Conan Doyle,male
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,female
The Complete Novels,Jane Austen,female
Cold Mountain,Charles Frazier,Unknown
Qurʾan / القرآن الكريم,Anonymous,Unknown
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,Unknown
"Me Before You (Me Before You, #1)",Jojo Moyes,female
The Witches,Roald Dahl,male
The Graveyard Book,Neil Gaiman,Unknown
V for Vendetta,Alan Moore,male
White Fang,Jack London,male
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,female
"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,male
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,female
Beowulf,Anonymous,Unknown
Go Ask Alice,Beatrice Sparks,female
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,male
Tuck Everlasting,Natalie Babbitt,Unknown
Steppenwolf,Hermann Hesse,male
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,male
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,male
A Separate Peace,John Knowles,male
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,female
As I Lay Dying,William Faulkner,male
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,male
The Complete Maus,Art Spiegelman,male
Mansfield Park,Jane Austen,female
The Amazing Adventures of Kavalier & Clay,Michael Chabon,male
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,male
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,male
"The Final Empire (Mistborn, #1)",Brandon Sanderson,male
"Wonder (Wonder, #1)",R.J. Palacio,female
Dear John,Nicholas Sparks,male
Tao Te Ching,Lao Tzu,male
Midnight's Children,Salman Rushdie,male
The Firm,Robin Waterfield,male
The English Patient,Michael Ondaatje,male
"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,female
The Last Song,Nicholas Sparks,male
"Obsidian (Lux, #1)",Jennifer L. Armentrout,female
The Martian Chronicles,Ray Bradbury,male
"My Ántonia (Great Plains Trilogy, #3)",Willa Cather,female
"Stargirl (Stargirl, #1)",Jerry Spinelli,male
'Salem's Lot,Stephen King,male
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,Unknown
Robinson Crusoe (Robinson Crusoe #1),Daniel Defoe,male
Cloud Atlas,David Mitchell,male
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,female
Like Water for Chocolate,Laura Esquivel,female
Doctor Zhivago,Boris Pasternak,male
"The Amber Spyglass  (His Dark Materials, #3)",Philip Pullman,male
Inferno,Dante Alighieri,male
Breakfast at Tiffany's,Truman Capote,male
Breakfast of Champions,Kurt Vonnegut Jr.,male
The Martian,Andy Weir,male
The Hunchback of Notre-Dame,Victor Hugo,male
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,Unknown
Room,Emma Donoghue,female
East of Eden,John Steinbeck,male
The BFG,Roald Dahl,male
"Evermore (The Immortals, #1)",Alyson Noel,female
The Origin of Species,Charles Darwin,male
A Fine Balance,Rohinton Mistry,male
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,female
